"filename", "language", "Go", "Go Module File", "comment", "blank", "total"
"c:\Users\orgam\Documents\work\projects\pakmaweshi\api\go.mod", "Go Module File", 0, 21, 0, 4, 25
"c:\Users\orgam\Documents\work\projects\pakmaweshi\api\handlers\files.go", "Go", 35, 0, 8, 19, 62
"c:\Users\orgam\Documents\work\projects\pakmaweshi\api\handlers\init.go", "Go", 18, 0, 0, 5, 23
"c:\Users\orgam\Documents\work\projects\pakmaweshi\api\handlers\post.go", "Go", 48, 0, 0, 22, 70
"c:\Users\orgam\Documents\work\projects\pakmaweshi\api\handlers\user.go", "Go", 109, 0, 3, 33, 145
"c:\Users\orgam\Documents\work\projects\pakmaweshi\api\internal\database.go", "Go", 73, 0, 0, 24, 97
"c:\Users\orgam\Documents\work\projects\pakmaweshi\api\internal\structs.go", "Go", 22, 0, 0, 9, 31
"c:\Users\orgam\Documents\work\projects\pakmaweshi\api\internal\util.go", "Go", 24, 0, 0, 10, 34
"c:\Users\orgam\Documents\work\projects\pakmaweshi\api\main.go", "Go", 50, 0, 0, 17, 67
"Total", "-", 379, 21, 11, 143, 554